iter	Passed	Remaining
0	1	107
1	1	97
2	2	91
3	3	83
4	4	82
5	5	81
6	6	80
7	7	80
8	7	79
9	8	78
10	9	77
11	10	76
12	11	74
13	11	73
14	12	72
15	13	71
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	66	17
79	67	16
80	68	15
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
